Type:uinteger,Time:timestampu,Error:uinteger,Master:string,Message:string,Event:string,EventClass:string,Data1:string,Data2:string,SeqNo:timestampu,Logger:string,Module:string,Domain:string,Local Time:timestampu,Arg1:uinteger,Arg2:uinteger,Arg3:uinteger,Arg4:uinteger,Arg5:uinteger,Arg6:uinteger,Arg7:uinteger,Arg8:uinteger,
6,,0,C64XP_0,"Sync Point After Halt:  SerialNumber=0x1, CpuTStamp [LSW=0x829a847b, MSW=0xa], GlobalTStamp [LSW=0xc8775c3e, MSW=0x5], CpuCyclesPerCpuTimerTick=1, CpuFreq [LSW=0x29b92700, MSW=0x0]",UIASync_syncPointAfterHalt,Unknown,,,1,SyncLog,ti.uia.events.UIASync,ti.uia.runtime.LogSync,45140837891,1,2191164539,10,3363265598,5,1,700000000,0,
6,,0,C64XP_0,"Sync Point Global Timer Freq:  SerialNumber=0x1, CpuCyclesPerGlobalTimerTick=6, GlobalTimerFreq [LSW=0x6f4312a, MSW=0x0]",UIASync_globalTimerFreq,Unknown,,,2,SyncLog,ti.uia.events.UIASync,ti.uia.runtime.LogSync,45140838109,1,6,116666666,0,,,,,
6,,0,C64XP_1,"Sync Point After Halt:  SerialNumber=0x1, CpuTStamp [LSW=0xa6af6e12, MSW=0x22], GlobalTStamp [LSW=0xc8772934, MSW=0x5], CpuCyclesPerCpuTimerTick=1, CpuFreq [LSW=0x29b92700, MSW=0x0]",UIASync_syncPointAfterHalt,Unknown,,,1,SyncLog,ti.uia.events.UIASync,ti.uia.runtime.LogSync,148825403281,1,2796514834,34,3363252532,5,1,700000000,0,
6,,0,C64XP_1,"Sync Point Global Timer Freq:  SerialNumber=0x1, CpuCyclesPerGlobalTimerTick=6, GlobalTimerFreq [LSW=0x6f4312a, MSW=0x0]",UIASync_globalTimerFreq,Unknown,,,2,SyncLog,ti.uia.events.UIASync,ti.uia.runtime.LogSync,148825403486,1,6,116666666,0,,,,,
6,,0,C64XP_2,"Sync Point After Halt:  SerialNumber=0x1, CpuTStamp [LSW=0x63f32e48, MSW=0x1f], GlobalTStamp [LSW=0xc87c6699, MSW=0x5], CpuCyclesPerCpuTimerTick=1, CpuFreq [LSW=0x29b92700, MSW=0x0]",UIASync_syncPointAfterHalt,Unknown,,,1,SyncLog,ti.uia.events.UIASync,ti.uia.runtime.LogSync,134820868043,1,1676881480,31,3363595929,5,1,700000000,0,
6,,0,C64XP_2,"Sync Point Global Timer Freq:  SerialNumber=0x1, CpuCyclesPerGlobalTimerTick=6, GlobalTimerFreq [LSW=0x6f4312a, MSW=0x0]",UIASync_globalTimerFreq,Unknown,,,2,SyncLog,ti.uia.events.UIASync,ti.uia.runtime.LogSync,134820868248,1,6,116666666,0,,,,,
6,,0,C64XP_3,"Sync Point After Halt:  SerialNumber=0x1, CpuTStamp [LSW=0xe3d7db51, MSW=0x1b], GlobalTStamp [LSW=0xc877352b, MSW=0x5], CpuCyclesPerCpuTimerTick=1, CpuFreq [LSW=0x29b92700, MSW=0x0]",UIASync_syncPointAfterHalt,Unknown,,,1,SyncLog,ti.uia.events.UIASync,ti.uia.runtime.LogSync,119786691780,1,3822574417,27,3363255595,5,1,700000000,0,
6,,0,C64XP_3,"Sync Point Global Timer Freq:  SerialNumber=0x1, CpuCyclesPerGlobalTimerTick=6, GlobalTimerFreq [LSW=0x6f4312a, MSW=0x0]",UIASync_globalTimerFreq,Unknown,,,2,SyncLog,ti.uia.events.UIASync,ti.uia.runtime.LogSync,119786691985,1,6,116666666,0,,,,,
6,,0,C64XP_4,"Sync Point After Halt:  SerialNumber=0x1, CpuTStamp [LSW=0x6214cc3d, MSW=0x18], GlobalTStamp [LSW=0xc8774004, MSW=0x5], CpuCyclesPerCpuTimerTick=1, CpuFreq [LSW=0x29b92700, MSW=0x0]",UIASync_syncPointAfterHalt,Unknown,,,1,SyncLog,ti.uia.events.UIASync,ti.uia.runtime.LogSync,104724745648,1,1645530173,24,3363258372,5,1,700000000,0,
6,,0,C64XP_4,"Sync Point Global Timer Freq:  SerialNumber=0x1, CpuCyclesPerGlobalTimerTick=6, GlobalTimerFreq [LSW=0x6f4312a, MSW=0x0]",UIASync_globalTimerFreq,Unknown,,,2,SyncLog,ti.uia.events.UIASync,ti.uia.runtime.LogSync,104724745853,1,6,116666666,0,,,,,
