Type:uinteger,Time:ulong,Error:uinteger,Master:string,Message:string,Event:string,EventClass:string,Data1:string,Data2:string,SeqNo:ulong,Logger:string,Module:string,Domain:string,Local Time:ulong,Arg1:uinteger,Arg2:uinteger,Arg3:uinteger,Arg4:uinteger,Arg5:uinteger,Arg6:uinteger,Arg7:uinteger,Arg8:uinteger,Block Arg:string,
,51856771539,0,C64XP_B,"LM_begin: hwi: 0x8743c0, func: 0x2a9820, preThread: 2, intNum: 14, irp: 0x29dce0",Start,HWI,ti_sysbios_knl_Clock_doTick__I(),,57622,SYSBIOS System Logger,_ti.uia.events.UIAHWICtx,ti.sysbios.family.c64p.Hwi,34725082682,8864704,2791456,2,14,2743520,0,0,0,,
,51856771942,0,C64XP_B,LM_tick: tick: 43770,Clock_LM_tick,Unknown,,,57623,SYSBIOS System Logger,ti.sysbios.knl.Clock,ti.sysbios.knl.Clock,34725082965,43770,,,,,,,,,
,51856772293,0,C64XP_B,"LM_post: swi: 0x8745e8, func: 0x294980, pri: 15",Swi_LM_post,Unknown,,,57624,SYSBIOS System Logger,ti.sysbios.knl.Swi,ti.sysbios.knl.Swi,34725083213,8865256,2705792,15,0,,,,,,
,51856772662,0,C64XP_B,LD_end: hwi: 0x8743c0,Stop,HWI,ti_sysbios_knl_Clock_doTick__I(),,57625,SYSBIOS System Logger,_ti.uia.events.UIAHWICtx,ti.sysbios.family.c64p.Hwi,34725083472,8864704,,,,,,,,,
,51856773082,0,C64XP_B,"LM_begin: swi: 0x8745e8, func: 0x294980, preThread: 0",Start,SWI,ti_sysbios_knl_Clock_workFunc__E(),,57626,SYSBIOS System Logger,_ti.uia.events.UIASWICtx,ti.sysbios.knl.Swi,34725083763,8865256,2705792,0,0,,,,,,
,51856773647,0,C64XP_B,LD_end: swi: 0x8745e8,Stop,SWI,ti_sysbios_knl_Clock_workFunc__E(),,57627,SYSBIOS System Logger,_ti.uia.events.UIASWICtx,ti.sysbios.knl.Swi,34725084163,8865256,,,,,,,,,
,51857771542,0,C64XP_B,"LM_begin: hwi: 0x8743c0, func: 0x2a9820, preThread: 2, intNum: 14, irp: 0x29dd84",Start,HWI,ti_sysbios_knl_Clock_doTick__I(),,57628,SYSBIOS System Logger,_ti.uia.events.UIAHWICtx,ti.sysbios.family.c64p.Hwi,34725782684,8864704,2791456,2,14,2743684,0,0,0,,
,51857771944,0,C64XP_B,LM_tick: tick: 43771,Clock_LM_tick,Unknown,,,57629,SYSBIOS System Logger,ti.sysbios.knl.Clock,ti.sysbios.knl.Clock,34725782967,43771,,,,,,,,,
,51857772296,0,C64XP_B,"LM_post: swi: 0x8745e8, func: 0x294980, pri: 15",Swi_LM_post,Unknown,,,57630,SYSBIOS System Logger,ti.sysbios.knl.Swi,ti.sysbios.knl.Swi,34725783215,8865256,2705792,15,0,,,,,,
,51857772664,0,C64XP_B,LD_end: hwi: 0x8743c0,Stop,HWI,ti_sysbios_knl_Clock_doTick__I(),,57631,SYSBIOS System Logger,_ti.uia.events.UIAHWICtx,ti.sysbios.family.c64p.Hwi,34725783474,8864704,,,,,,,,,
,51857773084,0,C64XP_B,"LM_begin: swi: 0x8745e8, func: 0x294980, preThread: 0",Start,SWI,ti_sysbios_knl_Clock_workFunc__E(),,57632,SYSBIOS System Logger,_ti.uia.events.UIASWICtx,ti.sysbios.knl.Swi,34725783765,8865256,2705792,0,0,,,,,,
,51857773650,0,C64XP_B,LD_end: swi: 0x8745e8,Stop,SWI,ti_sysbios_knl_Clock_workFunc__E(),,57633,SYSBIOS System Logger,_ti.uia.events.UIASWICtx,ti.sysbios.knl.Swi,34725784165,8865256,,,,,,,,,
,51858321270,0,C64XP_B,"LM_begin: hwi: 0x8532d8, func: 0x2a81a0, preThread: 2, intNum: 5, irp: 0x29dd84",Start,HWI,ti_sdo_ipc_family_c647x_Interrupt_intShmStub__I(),,57634,SYSBIOS System Logger,_ti.uia.events.UIAHWICtx,ti.sysbios.family.c64p.Hwi,34726167498,8729304,2785696,2,5,2743684,0,0,0,,
,51858323173,0,C64XP_B,"LM_post: swi: 0x853644, func: 0x2a9fe0, pri: 15",Swi_LM_post,Unknown,,,57635,SYSBIOS System Logger,ti.sysbios.knl.Swi,ti.sysbios.knl.Swi,34726168826,8730180,2793440,15,0,,,,,,
,51858325273,0,C64XP_B,LD_end: hwi: 0x8532d8,Stop,HWI,ti_sdo_ipc_family_c647x_Interrupt_intShmStub__I(),,57636,SYSBIOS System Logger,_ti.uia.events.UIAHWICtx,ti.sysbios.family.c64p.Hwi,34726170296,8729304,,,,,,,,,
,51858325684,0,C64XP_B,"LM_begin: swi: 0x853644, func: 0x2a9fe0, preThread: 0",Start,SWI,ti_sdo_ipc_transports_TransportShm_swiFxn__I(),,57637,SYSBIOS System Logger,_ti.uia.events.UIASWICtx,ti.sysbios.knl.Swi,34726170589,8730180,2793440,0,0,,,,,,
,51858330716,0,C64XP_B,"LM_post: sem: 0x855b18, count: 0",Semaphore_LM_post,Unknown,,,57638,SYSBIOS System Logger,ti.sysbios.knl.Semaphore,ti.sysbios.knl.Semaphore,34726174109,8739608,0,,,,,,,,
,51858331247,0,C64XP_B,"LD_ready: tsk: 0x854950, func: 0x252244, pri: 1",Task_LD_ready,Unknown,tsk1_func(),,57639,SYSBIOS System Logger,ti.sysbios.knl.Task,ti.sysbios.knl.Task,34726174480,8735056,2433604,1,0,,,,,,
,51858333904,0,C64XP_B,LD_end: swi: 0x853644,Stop,SWI,ti_sdo_ipc_transports_TransportShm_swiFxn__I(),,57640,SYSBIOS System Logger,_ti.uia.events.UIASWICtx,ti.sysbios.knl.Swi,34726176343,8730180,,,,,,,,,
,51858334890,0,C64XP_B,"LM_switch: oldtsk: 0x874708, oldfunc: 0x2aa860, newtsk: 0x854950, newfunc: 0x252244",CtxChg,TSK,tsk1_func(),,57641,SYSBIOS System Logger,_ti.uia.events.UIAThreadCtx,ti.sysbios.knl.Task,34726177031,8865544,2795616,8735056,2433604,,,,,,
,51858335696,0,C64XP_B,Test UIA Logs,printf,Unknown,,,714,Main Logger,,xdc.runtime.Main,34726177596,8964810,,,,,,,,,
6,51858336039,0,C64XP_B,"StartInstanceWithAdrs: Func Benchmark task=0x854950, fnAdrs=0x252244",Start,FUNC,tsk1_func().854950,tsk1_func(),715,Main Logger,ti.uia.events.UIABenchmark,xdc.runtime.Main,34726177833,8964824,8735056,2433604,0,,,,,,
6,51858336399,0,C64XP_B,"StopInstanceWithAdrs: Func Benchmark task=0x854950, fnAdrs=0x252244",Stop,FUNC,tsk1_func().854950,tsk1_func(),716,Main Logger,ti.uia.events.UIABenchmark,xdc.runtime.Main,34726178088,8964824,8735056,2433604,0,,,,,,
6,51858336759,0,C64XP_B,Start: Math Oprns:,Start,,Math Oprns:,,717,Main Logger,ti.uia.events.UIABenchmark,xdc.runtime.Main,34726178337,8964862,,,,,,,,,
6,51858337170,0,C64XP_B,"StartInstanceWithAdrs: task=0x854950, fnAdrs=0x252cb0:",Start,FUNC,matmult().854950,matmult(),718,Main Logger,ti.uia.events.UIABenchmark,xdc.runtime.Main,34726178629,8964532,8735056,2436272,0,,,,,,
,51858771579,0,C64XP_B,"LM_begin: hwi: 0x8743c0, func: 0x2a9820, preThread: 2, intNum: 14, irp: 0x252df4",Start,HWI,ti_sysbios_knl_Clock_doTick__I(),,57642,SYSBIOS System Logger,_ti.uia.events.UIAHWICtx,ti.sysbios.family.c64p.Hwi,34726482713,8864704,2791456,2,14,2436596,0,0,0,,
,51858772007,0,C64XP_B,LM_tick: tick: 43772,Clock_LM_tick,Unknown,,,57643,SYSBIOS System Logger,ti.sysbios.knl.Clock,ti.sysbios.knl.Clock,34726483011,43772,,,,,,,,,
,51858772453,0,C64XP_B,"LM_post: swi: 0x8745e8, func: 0x294980, pri: 15",Swi_LM_post,Unknown,,,57644,SYSBIOS System Logger,ti.sysbios.knl.Swi,ti.sysbios.knl.Swi,34726483324,8865256,2705792,15,0,,,,,,
,51858772839,0,C64XP_B,LD_end: hwi: 0x8743c0,Stop,HWI,ti_sysbios_knl_Clock_doTick__I(),,57645,SYSBIOS System Logger,_ti.uia.events.UIAHWICtx,ti.sysbios.family.c64p.Hwi,34726483595,8864704,,,,,,,,,
,51858773250,0,C64XP_B,"LM_begin: swi: 0x8745e8, func: 0x294980, preThread: 0",Start,SWI,ti_sysbios_knl_Clock_workFunc__E(),,57646,SYSBIOS System Logger,_ti.uia.events.UIASWICtx,ti.sysbios.knl.Swi,34726483884,8865256,2705792,0,0,,,,,,
,51858773876,0,C64XP_B,LD_end: swi: 0x8745e8,Stop,SWI,ti_sysbios_knl_Clock_workFunc__E(),,57647,SYSBIOS System Logger,_ti.uia.events.UIASWICtx,ti.sysbios.knl.Swi,34726484323,8865256,,,,,,,,,
,51859771547,0,C64XP_B,"LM_begin: hwi: 0x8743c0, func: 0x2a9820, preThread: 2, intNum: 14, irp: 0x252dea",Start,HWI,ti_sysbios_knl_Clock_doTick__I(),,57648,SYSBIOS System Logger,_ti.uia.events.UIAHWICtx,ti.sysbios.family.c64p.Hwi,34727182692,8864704,2791456,2,14,2436586,0,0,0,,
,51859771959,0,C64XP_B,LM_tick: tick: 43773,Clock_LM_tick,Unknown,,,57649,SYSBIOS System Logger,ti.sysbios.knl.Clock,ti.sysbios.knl.Clock,34727182979,43773,,,,,,,,,
,51859772379,0,C64XP_B,"LM_post: swi: 0x8745e8, func: 0x294980, pri: 15",Swi_LM_post,Unknown,,,57650,SYSBIOS System Logger,ti.sysbios.knl.Swi,ti.sysbios.knl.Swi,34727183274,8865256,2705792,15,0,,,,,,
,51859772747,0,C64XP_B,LD_end: hwi: 0x8743c0,Stop,HWI,ti_sysbios_knl_Clock_doTick__I(),,57651,SYSBIOS System Logger,_ti.uia.events.UIAHWICtx,ti.sysbios.family.c64p.Hwi,34727183533,8864704,,,,,,,,,
