Time:long,Micro Secs:float:decimal,Class:string,Data Message:string,Data:ulong,Filename:string,Function:string,Trace Status:string,Receiver Status:string,Program Address:uinteger:hex,Function Start:ulong
"0","0.000000","","","","","","Start_of_trace_data","","","0"
"0","0.000000","Data_WP Address Offset:Comp0","Value","536871476","","","","","","0"
"76","4.750000","Data_WP:Write:Comp0","Data value","1","","","","","","0"
"76","4.750000","Data_WP Address Offset:Comp0","Value","536871476","","","","","","0"
"439852","27490.750000","Data_WP:Read:Comp0","Data value","1","","","","","","0"
"439852","27490.750000","Data_WP Address Offset:Comp0","Value","536871476","","","","","","0"
"439852","27490.750000","Data_WP Address Offset:Comp0","Value","536871476","","","","","","0"
"439852","27490.750000","","","","","","OVERFLOW! Please reduce samples generation rate or increase output clock rate.","","","0"
"440056","27503.500000","Data_WP:Write:Comp0","Data value","2","","","","","","0"
"440056","27503.500000","Data_WP Address Offset:Comp0","Value","536871476","","","","","","0"
"8438612","527413.250000","Data_WP:Read:Comp0","Data value","2","","","","","","0"
"8438612","527413.250000","Data_WP Address Offset:Comp0","Value","536871476","","","","","","0"
"8438612","527413.250000","Data_WP Address Offset:Comp0","Value","536871476","","","","","","0"
"8438612","527413.250000","","","","","","OVERFLOW! Please reduce samples generation rate or increase output clock rate.","","","0"
"8438816","527426.000000","Data_WP:Write:Comp0","Data value","3","","","","","","0"
"8438816","527426.000000","Data_WP Address Offset:Comp0","Value","536871476","","","","","","0"
"16436520","1027282.500000","Data_WP:Read:Comp0","Data value","3","","","","","","0"
"16436520","1027282.500000","Data_WP Address Offset:Comp0","Value","536871476","","","","","","0"
"16436520","1027282.500000","Data_WP Address Offset:Comp0","Value","536871476","","","","","","0"
"16436520","1027282.500000","","","","","","OVERFLOW! Please reduce samples generation rate or increase output clock rate.","","","0"
"16436724","1027295.250000","Data_WP:Write:Comp0","Data value","4","","","","","","0"
"16436724","1027295.250000","Data_WP Address Offset:Comp0","Value","536871476","","","","","","0"
"24436508","1527281.750000","Data_WP:Read:Comp0","Data value","4","","","","","","0"
