Master ID:ubyte:hex,Master Name:string,Channel Number:ubyte:hex,Module:string,Data Message:string,Data:ulong:hex,Domain:string,Class:string,Type:string,Data Size:ubyte:hex,Address:uinteger:hex,Delta Time:ulong:decimal,Time:long:decimal,Trace Status:string,Receiver Status:string,Local Delta Timestamp:ulong:decimal,Local Timestamp:long:decimal,Overflow Count:ubyte:hex
"","","","","","","","","","","","","0","Start of trace","","","0",""
"0xD0","SMSET1","","SET","occurred","0x3","INTC_ARP32_INT4","computation","Event","","","3426385099771146797","3426385099771146797","","","1224736768","1224736768",""
"0xD4","SMSET2","","SET","occurred","0x3","INTC_ARP32_INT4","computation","Event","","","2","3426385099771146799","","","1224736768","2449473536",""
"0xD8","SMSET3","","SET","occurred","0x3","INTC_ARP32_INT4","computation","Event","","","2","3426385099771146801","","","1224736768","3674210304",""
"0xDC","SMSET4","","SET","occurred","0x3","INTC_ARP32_INT4","computation","Event","","","3","3426385099771146804","","","1224736768","4898947072",""
"0xD0","SMSET1","","SET","start","0x7","VCOP_EVE_LOOP","computation","Event","","","203","3426385099771147007","","","4480","4898951552",""
"0xD4","SMSET2","","SET","start","0x7","VCOP_EVE_LOOP","computation","Event","","","6","3426385099771147013","","","4576","4898956128",""
"0xD8","SMSET3","","SET","start","0x7","VCOP_EVE_LOOP","computation","Event","","","14","3426385099771147027","","","4800","4898960928",""
"0xDC","SMSET4","","SET","start","0x7","VCOP_EVE_LOOP","computation","Event","","","4","3426385099771147031","","","4800","4898965728",""
"0xD0","SMSET1","","SET","stop","0x8","VCOP_EVE_LOOP","computation","Event","","","572","3426385099771147603","","","12608","4898978336",""
"0xD0","SMSET1","","SET","start","0x1","EDMA_TPCC_AET","computation","Event","","","5","3426385099771147608","","","109","4898978445",""
"0xD4","SMSET2","","SET","stop","0x8","VCOP_EVE_LOOP","computation","Event","","","2","3426385099771147610","","","12608","4898991053",""
"0xD0","SMSET1","","SET","start","0x7","VCOP_EVE_LOOP","computation","Event","","","4","3426385099771147614","","","1","4898991054",""
"0xD4","SMSET2","","SET","start","0x1","EDMA_TPCC_AET","computation","Event","","","2","3426385099771147616","","","141","4898991195",""
"0xD4","SMSET2","","SET","start","0x7","VCOP_EVE_LOOP","computation","Event","","","4","3426385099771147620","","","1","4898991196",""
"0xD8","SMSET3","","SET","stop","0x8","VCOP_EVE_LOOP","computation","Event","","","2","3426385099771147622","","","12608","4899003804",""
"0xDC","SMSET4","","SET","stop","0x8","VCOP_EVE_LOOP","computation","Event","","","4","3426385099771147626","","","12608","4899016412",""
"0xD8","SMSET3","","SET","start","0x1","EDMA_TPCC_AET","computation","Event","","","4","3426385099771147630","","","176","4899016588",""
"0xD8","SMSET3","","SET","start","0x7","VCOP_EVE_LOOP","computation","Event","","","2","3426385099771147632","","","1","4899016589",""
"0xDC","SMSET4","","SET","start","0x1","EDMA_TPCC_AET","computation","Event","","","3","3426385099771147635","","","180","4899016769",""
"0xDC","SMSET4","","SET","start","0x7","VCOP_EVE_LOOP","computation","Event","","","2","3426385099771147637","","","1","4899016770",""
"0xD0","SMSET1","","SET","stop","0x2","EDMA_TPCC_AET","computation","Event","","","39","3426385099771147676","","","1432","4899018202",""
"0xD4","SMSET2","","SET","stop","0x2","EDMA_TPCC_AET","computation","Event","","","7","3426385099771147683","","","1424","4899019626",""
"0xD8","SMSET3","","SET","stop","0x2","EDMA_TPCC_AET","computation","Event","","","15","3426385099771147698","","","1432","4899021058",""
