Time:long,Micro Secs:float:decimal,Class:string,Data Message:string,Data:ulong,Filename:string,Function:string,Trace Status:string,Receiver Status:string,Program Address:uinteger:hex
"0","0.000000","","","","","","Start_of_trace_data","",""
"490120","30632.500000","Entry to Exception","GPIOC","18","","","","",""
"32405536","2025346.000000","Exit from Exception","GPIOC","18","","","","",""
"40405532","2525345.750000","Entry to Exception","GPIOB","17","","","","",""
"64405536","4025346.000000","Exit from Exception","GPIOB","17","","","","",""
"72405532","4525345.750000","Entry to Exception","GPIOA","16","","","","",""
"96405532","6025345.750000","Exit from Exception","GPIOA","16","","","","",""
"96405540","6025346.250000","Return to Exception","","0","","","","",""
"128546812","8034175.750000","Entry to Exception","GPIOC","18","","","","",""
"160405536","10025346.000000","Exit from Exception","GPIOC","18","","","","",""
"168405532","10525345.750000","Entry to Exception","GPIOB","17","","","","",""
"192405532","12025345.750000","Exit from Exception","GPIOB","17","","","","",""
"200405528","12525345.500000","Entry to Exception","GPIOA","16","","","","",""
"224405528","14025345.500000","Exit from Exception","GPIOA","16","","","","",""
"224405536","14025346.000000","Return to Exception","","0","","","","",""
"256548008","16034250.500000","Entry to Exception","GPIOC","18","","","","",""
"256601960","16037622.500000","Entry to Exception","GPIOB","17","","","","",""
"256661928","16041370.500000","Entry to Exception","GPIOA","16","","","","",""
"288405524","18025345.250000","Exit from Exception","GPIOA","16","","","","",""
"288405528","18025345.500000","Return to Exception","GPIOB","17","","","","",""
"320405524","20025345.250000","Exit from Exception","GPIOB","17","","","","",""
"320405528","20025345.500000","Return to Exception","GPIOC","18","","","","",""
"352405508","22025344.250000","Exit from Exception","GPIOC","18","","","","",""
"352405516","22025344.750000","Return to Exception","","0","","","","",""
"352405516","22025344.750000","","","","","","End_of_trace_data","",""
