Delta Time:ulong,Time:integer,Master ID:ubyte,Master Name:string,Channel Number:ubyte,Module:string,Data Message:string,Data:ulong,Domain:string,Class:string,Type:string,Data Size:ubyte,Address:uinteger,Delta Cycles:ulong,Cycle:integer,Trace Status:string,Receiver Status:string,Local Delta Timestamp:ulong,Local Timestamp:integer,Overflow Count:ubyte,
,0,,,,,,,,,,,,,0,Start of trace,,,0,,
0,0,,,255,,,3026220,,,,,,0,0,,,,0,,
,0,,,,,,4278190080,,,,,,,0,,,,0,,
20,0,,,255,,,2630427,,,,,,20,0,,,,0,,
,0,,,,,,4278190080,,,,,,,0,,,,0,,
20,20,,,255,,,790963205,,,,,,20,20,,,,0,,
,20,,,,,,4278190131,,,,,,,20,,,,0,,
20,40,,,255,,,269420035,,,,,,20,40,,,,0,,
,40,,,,,,488380691,,,,,,,40,,,,0,,
,40,,,,,,4278202672,,,,,,,40,,,,0,,
29,60,,,255,,,336465156,,,,,,29,60,,,,0,,
,60,,,,,,522065429,,,,,,,60,,,,0,,
,60,,,,,,4278202918,,,,,,,60,,,,0,,
29,89,,,255,,,4278255642,,,,,,29,89,,,,0,,
11,118,,,255,,,572596231,,,,,,11,118,,,,0,,
,118,,,,,,4278190080,,,,,,,118,,,,0,,
20,129,,,255,,,3204579336,,,,,,20,129,,,,0,,
11,149,,,255,,,741026087,,,,,,11,149,,,,0,,
,149,,,,,,4278267437,,,,,,,149,,,,0,,
20,160,,,255,,,707273499,,,,,,20,160,,,,0,,
,160,,,,,,4278190080,,,,,,,160,,,,0,,
20,180,,,255,,,790963205,,,,,,20,180,,,,0,,
,180,,,,,,4278190131,,,,,,,180,,,,0,,
20,200,,,255,,,319819526,,,,,,20,200,,,,0,,
,200,,,,,,807214105,,,,,,,200,,,,0,,
,200,,,,,,4278190129,,,,,,,200,,,,0,,
29,220,,,255,,,336397315,,,,,,29,220,,,,0,,
,220,,,,,,639573526,,,,,,,220,,,,0,,
,220,,,,,,4278190130,,,,,,,220,,,,0,,
29,249,,,255,,,4278195470,,,,,,29,249,,,,0,,
11,278,,,255,,,4278190106,,,,,,11,278,,,,0,,
11,289,,,255,,,2236704,,,,,,11,289,,,,0,,
,289,,,,,,4278190080,,,,,,,289,,,,0,,
20,300,,,255,,,4278190087,,,,,,20,300,,,,0,,
11,320,,,255,,,4278255624,,,,,,11,320,,,,0,,
11,331,,,255,,,724183335,,,,,,11,331,,,,0,,
,331,,,,,,3026220,,,,,,,331,,,,0,,
,331,,,,,,3204579328,,,,,,,331,,,,0,,
29,342,,,255,,,606280453,,,,,,29,342,,,,0,,
,342,,,,,,3352613,,,,,,,342,,,,0,,
,342,,,,,,4278190080,,,,,,,342,,,,0,,
29,371,,,255,,,4278190127,,,,,,29,371,,,,0,,
11,400,240,SMSET,,SET,start,3,iCONT1,task2,Event,,,11,400,,,256,0,,
,400,240,SMSET,,SET,stop,6,iCONT1,task3,Event,,,,400,,,0,256,,
,400,240,SMSET,,SET,start,15,iCONT2,task2,Event,,,,400,,,0,256,,
,400,240,SMSET,,SET,stop,16,iCONT2,task2,Event,,,,400,,,0,256,,
,400,240,SMSET,,SET,start,19,iCONT2,task3,Event,,,,400,,,0,256,,
,400,240,SMSET,,SET,stop,20,iCONT2,task3,Event,,,,400,,,0,256,,
,400,240,SMSET,,SET,stop,22,iCONT2,task4,Event,,,,400,,,0,256,,
,400,240,SMSET,,SET,start,25,iME3,computation,Event,,,,400,,,0,256,,
,400,240,SMSET,,SET,stop,28,iLF3,computation,Event,,,,400,,,0,256,,
,400,240,SMSET,,SET,start,29,iPE3,load,Event,,,,400,,,0,256,,
,400,240,SMSET,,SET,stop,30,iPE3,load,Event,,,,400,,,0,256,,
,400,240,SMSET,,SET,start,31,iPE3,computation,Event,,,,400,,,0,256,,
,400,240,SMSET,,SET,stop,48,MC3,load,Event,,,,400,,,0,256,,
,400,240,SMSET,,SET,start,49,MC3,computation,Event,,,,400,,,0,256,,
