Time:long,Delta Time:ulong,Master ID:ubyte,Master Name:string,Channel Number:ubyte,Module:string,Domain:string,Class:string,Type:string,Data Message:string,Data:ulong,Trace Status:string,Receiver Status:string,
"8101998","","","","","","","","","","","Start of trace","",
"8101999","1","230","","255","","","","","","2734692608","","",
"8102000","1","230","","255","","","","","","3271557531","","",
"8102001","1","230","","255","","","","","","3808428232","","",
"8104817","2816","230","","255","","","","","","2181047680","","",
"8104818","1","230","","255","","","","","","2717918592","","",
"8104819","1","230","","255","","","","","","3254780504","","",
"8104820","1","230","","255","","","","","","3791651116","","",
"8105900","1080","230","","255","","","","","","2231370528","","",
"8105901","1","230","","255","","","","","","2768241440","","",
"8105903","2","230","","255","","","","","","3305111752","","",
"8105904","1","230","","255","","","","","","3841982664","","",
"8106880","976","230","","255","","","","","","2298478592","","",
"8106881","1","230","","255","","","","","","2835349504","","",
"8106883","2","230","","255","","","","","","3372220416","","",
"8106883","","","","","","","","","","3909091328","","",
"8113443","6560","230","","255","","","","","","2315257408","","",
"8113444","1","230","","255","","","","","","2852128320","","",
"8113446","2","230","","255","","","","","","3388997632","","",
"8113446","","","","","","","","","","3925868944","","",
"8115118","1672","230","","255","","","","","","2348811492","","",
"8115119","1","230","","255","","","","","","2885682404","","",
"8115121","2","230","","255","","","","","","3422552064","","",
"8115121","","","","","","","","","","3959423289","","",
"8126193","11072","230","","255","","","","","","2164267264","","",
"8126194","1","230","","255","","","","","","2701138176","","",
"8126195","1","230","","255","","","","","","3238003088","","",
"8126196","1","230","","255","","","","","","3774873800","","",
"8128044","1848","230","","255","","","","","","2332034224","","",
"8128045","1","230","","255","","","","","","2868905136","","",
"8128047","2","230","","255","","","","","","3405774848","","",
"8128047","","","","","","","","","","3942646060","","",
"8133167","5120","230","","255","","","","","","2147496448","","",
"8133168","1","230","","255","","","","","","2684367360","","",
"8133170","2","230","","255","","","","","","3221226272","","",
"8133171","1","230","","255","","","","","","3758096784","","",
"8145587","12416","230","","255","","","","","","2197824896","","",
"8148409","2822","128","CPTracer","","CPT","MSMC_2","Bus Throughput(MBytes/s) = ThroughPutCounter0 / Sliding Time Window","Value","","48","","",
"8148409","","128","CPTracer","","CPT","MSMC_2","Bus Throughput(MBytes/s) = ThroughPutCounter1 / Sliding Time Window","Value","","48","","",
"8148409","","128","CPTracer","","CPT","MSMC_2","Bus Utilization(Mil Transactions/s) = Num Access Granted / Sliding Time Window","Value","","1","","",
"8148409","","128","CPTracer","","CPT","MSMC_2","Bus Contention(%) = Accumulated wait time / Sliding Time Window","Value","","0","","",
"8148409","","128","CPTracer","","CPT","MSMC_2","Min. Average Latency (cycles / transaction) = Accumulated wait time / Num Access Granted","Value","","2","","",
"8148409","","128","CPTracer","","CPT","MSMC_2","Throughput Counter0","Value","","6400","","",
"8148409","","128","CPTracer","","CPT","MSMC_2","Throughput Counter1","Value","","6400","","",
"8148409","","128","CPTracer","","CPT","MSMC_2","Total Wait Time Counter","Value","","400","","",
"8148409","","128","CPTracer","","CPT","MSMC_2","Total Granted Counter","Value","","200","","",
"8149484","1075","128","CPTracer","","CPT","DDR","Bus Throughput(MBytes/s) = ThroughPutCounter1 / Sliding Time Window","Value","","9","","",
"8149484","","128","CPTracer","","CPT","DDR","Average Access Size(bytes/cycle) = ThroughPutCounter1 / Num Access Granted","Value","","4","","",
"8149484","","128","CPTracer","","CPT","DDR","Bus Utilization(Mil Transactions/s) = Num Access Granted / Sliding Time Window","Value","","2","","",
"8149484","","128","CPTracer","","CPT","DDR","Bus Contention(%) = Accumulated wait time / Sliding Time Window","Value","","0","","",
"8149484","","128","CPTracer","","CPT","DDR","Min. Average Latency (cycles / transaction) = Accumulated wait time / Num Access Granted","Value","","1","","",
"8149484","","128","CPTracer","","CPT","DDR","Selected bus throughput(MBytes/s) = ThroughPutCounter0 / Sliding Time Window","Value","","9","","",
"8149484","","128","CPTracer","","CPT","DDR","Throughput Counter0","Value","","1200","","",
"8149484","","128","CPTracer","","CPT","DDR","Throughput Counter1","Value","","1200","","",
"8149484","","128","CPTracer","","CPT","DDR","Total Wait Time Counter","Value","","300","","",
"8149484","","128","CPTracer","","CPT","DDR","Total Granted Counter","Value","","300","","",
"8169711","20227","128","CPTracer","","CPT","MSMC_1","Bus Throughput(MBytes/s) = ThroughPutCounter0 / Sliding Time Window","Value","","48","","",
"8169711","","128","CPTracer","","CPT","MSMC_1","Bus Throughput(MBytes/s) = ThroughPutCounter1 / Sliding Time Window","Value","","48","","",
"8169711","","128","CPTracer","","CPT","MSMC_1","Bus Utilization(Mil Transactions/s) = Num Access Granted / Sliding Time Window","Value","","1","","",
"8169711","","128","CPTracer","","CPT","MSMC_1","Bus Contention(%) = Accumulated wait time / Sliding Time Window","Value","","0","","",
"8169711","","128","CPTracer","","CPT","MSMC_1","Min. Average Latency (cycles / transaction) = Accumulated wait time / Num Access Granted","Value","","2","","",
"8169711","","128","CPTracer","","CPT","MSMC_1","Throughput Counter0","Value","","6400","","",
"8169711","","128","CPTracer","","CPT","MSMC_1","Throughput Counter1","Value","","6400","","",
"8169711","","128","CPTracer","","CPT","MSMC_1","Total Wait Time Counter","Value","","400","","",
"8169711","","128","CPTracer","","CPT","MSMC_1","Total Granted Counter","Value","","200","","",
"8172194","2483","128","CPTracer","","CPT","L2_0","Bus Throughput(MBytes/s) = ThroughPutCounter1 / Sliding Time Window","Value","","0","","",
"8172194","","128","CPTracer","","CPT","L2_0","Average Access Size(bytes/cycle) = ThroughPutCounter1 / Num Access Granted","Value","","0","","",
"8172194","","128","CPTracer","","CPT","L2_0","Bus Utilization(Mil Transactions/s) = Num Access Granted / Sliding Time Window","Value","","0","","",
"8172194","","128","CPTracer","","CPT","L2_0","Bus Contention(%) = Accumulated wait time / Sliding Time Window","Value","","0","","",
"8172194","","128","CPTracer","","CPT","L2_0","Min. Average Latency (cycles / transaction) = Accumulated wait time / Num Access Granted","Value","","0","","",
"8172194","","128","CPTracer","","CPT","L2_0","Selected bus throughput(MBytes/s) = ThroughPutCounter0 / Sliding Time Window","Value","","0","","",
"8172194","","128","CPTracer","","CPT","L2_0","Throughput Counter0","Value","","0","","",
"8172194","","128","CPTracer","","CPT","L2_0","Throughput Counter1","Value","","0","","",
"8172194","","128","CPTracer","","CPT","L2_0","Total Wait Time Counter","Value","","0","","",
"8172194","","128","CPTracer","","CPT","L2_0","Total Granted Counter","Value","","0","","",
