Time:long,Delta Time:ulong,Master ID:ubyte,Master Name:string,Channel Number:ubyte,Module:string,Domain:string,Class:string,Type:string,Data Message:string,Data:ulong,Trace Status:string,Receiver Status:string,
"0","","","","","","","","","","","Start of trace","",
"216","216","128","CPTracer","","CPT","L2_4","Bus Throughput(MBytes/s) = ThroughPutCounter1 / Sliding Time Window","Value","","0","","",
"216","","128","CPTracer","","CPT","L2_4","Average Access Size(bytes/cycle) = ThroughPutCounter1 / Num Access Granted","Value","","0","","",
"216","","128","CPTracer","","CPT","L2_4","Bus Utilization(Mil Transactions/s) = Num Access Granted / Sliding Time Window","Value","","0","","",
"216","","128","CPTracer","","CPT","L2_4","Bus Contention(%) = Accumulated wait time / Sliding Time Window","Value","","0","","",
"216","","128","CPTracer","","CPT","L2_4","Min. Average Latency (cycles / transaction) = Accumulated wait time / Num Access Granted","Value","","0","","",
"216","","128","CPTracer","","CPT","L2_4","Selected bus throughput(MBytes/s) = ThroughPutCounter0 / Sliding Time Window","Value","","0","","",
"4987","4771","128","CPTracer","","CPT","L2_1","Bus Throughput(MBytes/s) = ThroughPutCounter1 / Sliding Time Window","Value","","0","","",
"4987","","128","CPTracer","","CPT","L2_1","Average Access Size(bytes/cycle) = ThroughPutCounter1 / Num Access Granted","Value","","0","","",
"4987","","128","CPTracer","","CPT","L2_1","Bus Utilization(Mil Transactions/s) = Num Access Granted / Sliding Time Window","Value","","0","","",
"4987","","128","CPTracer","","CPT","L2_1","Bus Contention(%) = Accumulated wait time / Sliding Time Window","Value","","0","","",
"4987","","128","CPTracer","","CPT","L2_1","Min. Average Latency (cycles / transaction) = Accumulated wait time / Num Access Granted","Value","","0","","",
"4987","","128","CPTracer","","CPT","L2_1","Selected bus throughput(MBytes/s) = ThroughPutCounter0 / Sliding Time Window","Value","","0","","",
"9470","4483","128","CPTracer","","CPT","L2_6","Bus Throughput(MBytes/s) = ThroughPutCounter1 / Sliding Time Window","Value","","0","","",
"9470","","128","CPTracer","","CPT","L2_6","Average Access Size(bytes/cycle) = ThroughPutCounter1 / Num Access Granted","Value","","0","","",
"9470","","128","CPTracer","","CPT","L2_6","Bus Utilization(Mil Transactions/s) = Num Access Granted / Sliding Time Window","Value","","0","","",
"9470","","128","CPTracer","","CPT","L2_6","Bus Contention(%) = Accumulated wait time / Sliding Time Window","Value","","0","","",
"9470","","128","CPTracer","","CPT","L2_6","Min. Average Latency (cycles / transaction) = Accumulated wait time / Num Access Granted","Value","","0","","",
"9470","","128","CPTracer","","CPT","L2_6","Selected bus throughput(MBytes/s) = ThroughPutCounter0 / Sliding Time Window","Value","","0","","",
