Master ID:hexuint,Master Name:string,Channel Number:uinteger,Module:string,Domain:string,Class:string,Type:string,Data Message:string,Data:uinteger,Data Size:uinteger,Address:uinteger:hex,Time:ulong,Delta Time:ulong,Trace Status:string,Receiver Status:string
--,--,--,--,--,--,--,--,----------------,--,--------,,------,Start of trace,----------------
00f4,PM,--,PM,MPU RAM,Memory Power State,State,Sleep,3,--,--------,31,31,Multi-transitions detected; export lantency overflow,----------------
00f4,PM,--,PM,MPU L2,Memory Power State,State,Sleep,3,--,--------,31,0,Multi-transitions detected; export lantency overflow,----------------
00f4,PM,--,PM,MPU L1,Memory Power State,State,Sleep,3,--,--------,31,0,Multi-transitions detected; export lantency overflow,----------------
00f4,PM,--,PM,CHIRON M1,Memory Power State,State,Sleep,3,--,--------,31,0,Multi-transitions detected; export lantency overflow,----------------
00f4,PM,--,PM,CHIRON M2,Memory Power State,State,Sleep,3,--,--------,31,0,Multi-transitions detected; export lantency overflow,----------------
00f4,PM,--,PM,TESLA EDMA,Memory Power State,State,On,0,--,--------,31,0,Multi-transitions detected; export lantency overflow,----------------
00f4,PM,--,PM,TESLA L2,Memory Power State,State,On,0,--,--------,31,0,Multi-transitions detected; export lantency overflow,----------------
00f4,PM,--,PM,TESLA L1,Memory Power State,State,On,0,--,--------,31,0,Multi-transitions detected; export lantency overflow,----------------
00f4,PM,--,PM,PERPH MEM,Memory Power State,State,On,0,--,--------,31,0,Multi-transitions detected; export lantency overflow,----------------
00f4,PM,--,PM,AES MEM,Memory Power State,State,On,0,--,--------,31,0,Multi-transitions detected; export lantency overflow,----------------
00f4,PM,--,PM,OCP NRET,Memory Power State,State,Sleep,3,--,--------,31,0,Multi-transitions detected; export lantency overflow,----------------
00f4,PM,--,PM,DUCATI UNICACHE,Memory Power State,State,Sleep,3,--,--------,31,0,Multi-transitions detected; export lantency overflow,----------------
00f4,PM,--,PM,DUCATI L2 RAM,Memory Power State,State,Sleep,3,--,--------,31,0,Multi-transitions detected; export lantency overflow,----------------
00f4,PM,--,PM,CORE OCMRAM,Memory Power State,State,Sleep,3,--,--------,31,0,Multi-transitions detected; export lantency overflow,----------------
00f4,PM,--,PM,CORE OTHER BANKS,Memory Power State,State,Sleep,3,--,--------,31,0,Multi-transitions detected; export lantency overflow,----------------
00f4,PM,--,PM,TCM2,Memory Power State,State,On,0,--,--------,31,0,Multi-transitions detected; export lantency overflow,----------------
00f4,PM,--,PM,TCM1,Memory Power State,State,On,0,--,--------,31,0,Multi-transitions detected; export lantency overflow,----------------
00f4,PM,--,PM,SL2,Memory Power State,State,On,0,--,--------,31,0,Multi-transitions detected; export lantency overflow,----------------
00f4,PM,--,PM,HWA,Memory Power State,State,On,0,--,--------,31,0,Multi-transitions detected; export lantency overflow,----------------
00f4,PM,--,PM,CAM,Memory Power State,State,On,0,--,--------,31,0,Multi-transitions detected; export lantency overflow,----------------
00f4,PM,--,PM,DSS,Memory Power State,State,On,0,--,--------,31,0,Multi-transitions detected; export lantency overflow,----------------
00f4,PM,--,PM,GFX,Memory Power State,State,On,0,--,--------,31,0,Multi-transitions detected; export lantency overflow,----------------
00f4,PM,--,PM,L3INIT BANK1,Memory Power State,State,Sleep,3,--,--------,31,0,Multi-transitions detected; export lantency overflow,----------------
00f4,PM,--,PM,NON RETAINED BANK,Memory Power State,State,Sleep,3,--,--------,31,0,Multi-transitions detected; export lantency overflow,----------------
00f4,PM,--,PM,MPU,Logic Power State,State,Sleep,3,--,--------,80,49,--,----------------
00f4,PM,--,PM,Cortex-A9-C0,Logic Power State,State,Sleep,3,--,--------,80,0,Multi-transitions detected; export lantency overflow,----------------
00f4,PM,--,PM,Cortex-A9-C1,Logic Power State,State,Sleep,3,--,--------,80,0,Multi-transitions detected; export lantency overflow,----------------
00f4,PM,--,PM,TESLA,Logic Power State,State,On,0,--,--------,80,0,Multi-transitions detected; export lantency overflow,----------------
00f4,PM,--,PM,ABE,Logic Power State,State,On,0,--,--------,80,0,Multi-transitions detected; export lantency overflow,----------------
00f4,PM,--,PM,CORE,Logic Power State,State,Sleep,3,--,--------,80,0,Multi-transitions detected; export lantency overflow,----------------
00f4,PM,--,PM,IVAHD,Logic Power State,State,On,0,--,--------,80,0,Multi-transitions detected; export lantency overflow,----------------
00f4,PM,--,PM,CAM,Logic Power State,State,On,0,--,--------,80,0,Multi-transitions detected; export lantency overflow,----------------
00f4,PM,--,PM,DSS,Logic Power State,State,On,0,--,--------,80,0,Multi-transitions detected; export lantency overflow,----------------
00f4,PM,--,PM,GFX,Logic Power State,State,On,0,--,--------,80,0,Multi-transitions detected; export lantency overflow,----------------
00f4,PM,--,PM,L3INT,Logic Power State,State,Sleep,3,--,--------,80,0,Multi-transitions detected; export lantency overflow,----------------
00f4,PM,--,PM,L4PER,Logic Power State,State,Sleep,3,--,--------,80,0,Multi-transitions detected; export lantency overflow,----------------
00f4,PM,--,PM,CEFUSE,Logic Power State,State,On,0,--,--------,80,0,Multi-transitions detected; export lantency overflow,----------------
00f2,CM1,,CM1,MPU DPLL ,Clock Domain State ,State,On,1,,,102,22,,
00f2,CM1,,CM1,MPU A,Clock Domain State ,State,Off,0,,,102,0,,
00f2,CM1,,CM1,Cortex A9_0,Target Activity Ratio,Value,0x64,100,,,102,0,,
00f2,CM1,,CM1,DMIC,Target Activity Ratio,Value,0x32,50,,,102,0,,
00f4,PM,,PM,SRAM MPU ,Memory Voltage OPP ,Value,0 mV,0,,,102,0,,
00f4,PM,,PM,CORE,Logic Voltage OPP ,Value,600.0 mV,1,,,102,0,,
00f4,PM,,PM,PEX,Logic Voltage OPP ,Value,612.5 mV,2,,,102,0,,
