Type:uinteger,Time:ulong,Error:uinteger,Master:string,Message:string,Event:string,EventClass:string,Data1:string,Data2:string,SeqNo:ulong,Logger:string,Module:string,Domain:string,Local Time:ulong,Arg1:uinteger,Arg2:uinteger,Arg3:uinteger,Arg4:uinteger,Arg5:uinteger,Arg6:uinteger,Arg7:uinteger,Arg8:uinteger,Block Arg,
,535613566594,0,C64XP_B,"LM_switch: oldtsk: 0x874708, oldfunc: 0x2ab720, newtsk: 0x854950, newfunc: 0x248544",CtxChg,TSK,tsk1_func(),,25424,SYSBIOS System Logger,_ti.uia.events.UIAThreadCtx,ti.sysbios.knl.Task,105240798653,8865544,2799392,8735056,2393412,,,,,,
,535613567623,0,C64XP_B,Test UIA Logs,printf,Unknown,,,14581,Main Logger,,xdc.runtime.Main,105240799375,8963826,,,,,,,,,
6,535613567974,0,C64XP_B,Start: ABC ,Start,,ABC,,14582,Main Logger,ti.uia.events.UIABenchmark,xdc.runtime.Main,105240799624,8963840,,,,,,,,,
6,535613568317,0,C64XP_B,Stop: ABC ,Stop,,ABC,,14583,Main Logger,ti.uia.events.UIABenchmark,xdc.runtime.Main,105240799859,8963840,,,,,,,,,
6,535613568652,0,C64XP_B,Start: ABC Benchmark ,Start,,ABC Benchmark,,14584,Main Logger,ti.uia.events.UIABenchmark,xdc.runtime.Main,105240800094,8963844,,,,,,,,,
6,535613568986,0,C64XP_B,Stop: ABC Benchmark ,Stop,,ABC Benchmark,,14585,Main Logger,ti.uia.events.UIABenchmark,xdc.runtime.Main,105240800329,8963844,,,,,,,,,
lesPerGlobalTimerTick=6, GlobalTimerFreq [LSW=0x6f4312a, MSW=0x0]",UIASync_globalTimerFreq,Unknown,,,6,SyncLog,ti.uia.events.UIASync,ti.uia.runtime.LogSync,80626409438,3,6,116666666,0,,,,,,
6,,0,C64XP_B,"Sync Point:  SerialNumber=0x2, CpuTStamp [LSW=0xb6f22c72, MSW=0x12], GlobalTStamp [LSW=0x959b8417, MSW=0xd], CpuCyclesPerCpuTimerTick=1, CpuFreq [LSW=0x29b92700, MSW=0x0]",UIASync_syncPoint,Unknown,,,3,SyncLog,ti.uia.events.UIASync,ti.uia.runtime.LogSync,80378736044,2,3069324402,18,2509997079,13,1,700000000,0,,
6,,0,C64XP_B,"Sync Point Global Timer Freq:  SerialNumber=0x2, CpuCyclesPerGlobalTimerTick=6, GlobalTimerFreq [LSW=0x6f4312a, MSW=0x0]",UIASync_globalTimerFreq,Unknown,,,4,SyncLog,ti.uia.events.UIASync,ti.uia.runtime.LogSync,80378736249,2,6,116666666,0,,,,,,
6,,0,C64XP_B,"Sync Point:  SerialNumber=0x3, CpuTStamp [LSW=0xf02f5fd4, MSW=0x12], GlobalTStamp [LSW=0x9f25b752, MSW=0xd], CpuCyclesPerCpuTimerTick=1, CpuFreq [LSW=0x29b92700, MSW=0x0]",UIASync_syncPoint,Unknown,,,5,SyncLog,ti.uia.events.UIASync,ti.uia.runtime.LogSync,81339048206,3,4029636564,18,2670049106,13,1,700000000,0,,
