Program Address:uinteger:hex,Load Address:uinteger:hex,Read Data:ulong,Write Data:ulong,Delta Cycles:ulong,Cycle:long,Trace Status:string,Filename:string,Function:string,Source:string,Disassembly:string,
"","","","","","0","Start of trace","","","","",
"","","","","","0","Incomplete frame, Missing start of frame marker, disable circular buffering or assure collection is started before running target.","","","","",
"","","","","995","0","","","","","",
"0x88185688","0x88185688","","","6","995","Stall timing collection on, cycle columns show stall timing and pipeline advances, PC collection on","C:\Working\Projects\Image Processing\ipc\evmc6670l\master\Debug\configPkg\package\cfg\image_processing_evmc6670l_master_pe66.c","xdc_runtime_Timestamp_SupportProxy_getFreq__E(struct xdc_runtime_Types_FreqHz *)","    ti_sysbios_family_c64p_TimestampProvider_getFreq(freq);","           CALLP.S2      0x88183e00,B3",
"0x88183E00","0x88183E00","","","1","1001","Stall timing collection on, cycle columns show stall timing and pipeline advances, PC collection off","/db/vtree/library/trees/avala/avala-q41x/src/ti/sysbios/BIOS.c","ti_sysbios_BIOS_getCpuFreq__E(struct xdc_runtime_Types_FreqHz *)","<Source file not found>","           MVK.S1        0x0418,A3",
"","","","","989","1002","","","","","",
"0x8817BE70","0x8817BE70","","","1","1991","Stall timing collection on, cycle columns show stall timing and pipeline advances, PC collection on","/db/vtree/library/trees/avala/avala-q41x/src/ti/sysbios/knl/Idle.c","ti_sysbios_knl_Idle_loop__E(unsigned int, unsigned int)","<Source file not found>","           LDW.D2T2      *+B11[0],B4",
"0x8817BE74","0x8817BE74","","","1","1992","Stall timing collection on, cycle columns show stall timing and pipeline advances, PC collection off","/db/vtree/library/trees/avala/avala-q41x/src/ti/sysbios/knl/Idle.c","ti_sysbios_knl_Idle_loop__E(unsigned int, unsigned int)","","           ADD.L1        1,A10,A10",
"","","","","1000","1993","","","","","",
"0x88183E10","0x88183E10","","","1","2993","Stall timing collection on, cycle columns show stall timing and pipeline advances, PC collection on","/db/vtree/library/trees/avala/avala-q41x/src/ti/sysbios/BIOS.c","ti_sysbios_BIOS_getCpuFreq__E(struct xdc_runtime_Types_FreqHz *)","<Source file not found>","           STNDW.D1T1    A7:A6,*+A4[0]",
"0x88183E14","0x88183E14","","","1","2994","Stall timing collection on, cycle columns show stall timing and pipeline advances, PC collection off","/db/vtree/library/trees/avala/avala-q41x/src/ti/sysbios/BIOS.c","ti_sysbios_BIOS_getCpuFreq__E(struct xdc_runtime_Types_FreqHz *)","<Source file not found>","           BNOP.S2       B3,5",
"","","","","1002","2995","","","","","",
"0x8817BE8C","0x8817BE8C","","","1","3997","Stall timing collection on, cycle columns show stall timing and pipeline advances, PC collection on","/db/vtree/library/trees/avala/avala-q41x/src/ti/sysbios/knl/Idle.c","ti_sysbios_knl_Idle_loop__E(unsigned int, unsigned int)","<Source file not found>","           MVC.S2        B10,CSR",
"0x8817BE90","0x8817BE90","","","1","3998","Stall timing collection on, cycle columns show stall timing and pipeline advances, PC collection off","/db/vtree/library/trees/avala/avala-q41x/src/ti/sysbios/knl/Idle.c","ti_sysbios_knl_Idle_loop__E(unsigned int, unsigned int)","<Source file not found>","           BNOP.S1       0x8817be28,5",
"","","","","997","3999","","","","","",
"0x881856CC","0x881856CC","","","1","4996","Stall timing collection on, cycle columns show stall timing and pipeline advances, PC collection on","C:\Working\Projects\Image Processing\ipc\evmc6670l\master\Debug\configPkg\package\cfg\image_processing_evmc6670l_master_pe66.c","xdc_runtime_Timestamp_getFreq__E(struct xdc_runtime_Types_FreqHz *)","}","           LDW.D2T2      *++B15[2],B3",
"0x881856D0","0x881856D0","","","1","4997","Stall timing collection on, cycle columns show stall timing and pipeline advances, PC collection off","C:\Working\Projects\Image Processing\ipc\evmc6670l\master\Debug\configPkg\package\cfg\image_processing_evmc6670l_master_pe66.c","xdc_runtime_Timestamp_getFreq__E(struct xdc_runtime_Types_FreqHz *)","","           NOP           4",
"","","","","996","4998","","","","","",
"0x8817BE40","0x8817BE40","","","1","5994","Stall timing collection on, cycle columns show stall timing and pipeline advances, PC collection on","/db/vtree/library/trees/avala/avala-q41x/src/ti/sysbios/knl/Idle.c","ti_sysbios_knl_Idle_loop__E(unsigned int, unsigned int)","<Source file not found>","           LDW.D1T1      *+A3[0],A4",
