Type:uinteger,Time:ulong,Error:uinteger,Master:string,Message:string,Event:string,EventClass:string,Data1:string,Data2:string,SeqNo:ulong,Logger:string,Module:string,Domain:string,Process:string,PID:uinteger,Local Time:ulong,Arg1:uinteger,Arg2:uinteger,Arg3:uinteger,Arg4:uinteger,Arg5:uinteger,Arg6:uinteger,Arg7:uinteger,Arg8:uinteger,Block Arg:string,
"6","","0","C64XP_A","Sync Point After Halt:  SerialNumber=0x1, CpuTStamp [LSW=0x1b8e151f, MSW=0x4], GlobalTStamp [LSW=0x46bbdfd8, MSW=0xd], CpuCyclesPerCpuTimerTick=1, CpuFreq [LSW=0x29b92700, MSW=0x0]","UIASync_syncPointAfterHalt","Unknown","","","1","SyncLog","ti.uia.events.UIASync","ti.uia.runtime.LogSync","","","17642165806","1","462296351","4","1186717656","13","1","700000000","0","",
"6","","0","C64XP_A","Sync Point Global Timer Freq:  SerialNumber=0x1, CpuCyclesPerGlobalTimerTick=6, GlobalTimerFreq [LSW=0x6f4312a, MSW=0x0]","UIASync_globalTimerFreq","Unknown","","","2","SyncLog","ti.uia.events.UIASync","ti.uia.runtime.LogSync","","","17642166029","1","6","116666666","0","","","","","",
"6","","0","C64XP_A","Sync Point:  SerialNumber=0x2, CpuTStamp [LSW=0x1d29c21d, MSW=0x4], GlobalTStamp [LSW=0x47007caf, MSW=0xd], CpuCyclesPerCpuTimerTick=1, CpuFreq [LSW=0x29b92700, MSW=0x0]","UIASync_syncPoint","Unknown","","","3","SyncLog","ti.uia.events.UIASync","ti.uia.runtime.LogSync","","","17669145364","2","489275933","4","1191214255","13","1","700000000","0","",
"6","","0","C64XP_A","Sync Point Global Timer Freq:  SerialNumber=0x2, CpuCyclesPerGlobalTimerTick=6, GlobalTimerFreq [LSW=0x6f4312a, MSW=0x0]","UIASync_globalTimerFreq","Unknown","","","4","SyncLog","ti.uia.events.UIASync","ti.uia.runtime.LogSync","","","17669145585","2","6","116666666","0","","","","","",
"6","","0","C64XP_B","Sync Point After Halt:  SerialNumber=0x1, CpuTStamp [LSW=0x1aebc98d, MSW=0x4], GlobalTStamp [LSW=0x46bbaab6, MSW=0xd], CpuCyclesPerCpuTimerTick=1, CpuFreq [LSW=0x29b92700, MSW=0x0]","UIASync_syncPointAfterHalt","Unknown","","","1","SyncLog","ti.uia.events.UIASync","ti.uia.runtime.LogSync","","","17631529628","1","451660173","4","1186704054","13","1","700000000","0","",
"6","","0","C64XP_B","Sync Point Global Timer Freq:  SerialNumber=0x1, CpuCyclesPerGlobalTimerTick=6, GlobalTimerFreq [LSW=0x6f4312a, MSW=0x0]","UIASync_globalTimerFreq","Unknown","","","2","SyncLog","ti.uia.events.UIASync","ti.uia.runtime.LogSync","","","17631529851","1","6","116666666","0","","","","","",
"6","","0","C64XP_B","Sync Point:  SerialNumber=0x2, CpuTStamp [LSW=0x1c87285b, MSW=0x4], GlobalTStamp [LSW=0x47003a83, MSW=0xd], CpuCyclesPerCpuTimerTick=1, CpuFreq [LSW=0x29b92700, MSW=0x0]","UIASync_syncPoint","Unknown","","","3","SyncLog","ti.uia.events.UIASync","ti.uia.runtime.LogSync","","","17658489169","2","478619739","4","1191197315","13","1","700000000","0","",
"6","","0","C64XP_B","Sync Point Global Timer Freq:  SerialNumber=0x2, CpuCyclesPerGlobalTimerTick=6, GlobalTimerFreq [LSW=0x6f4312a, MSW=0x0]","UIASync_globalTimerFreq","Unknown","","","4","SyncLog","ti.uia.events.UIASync","ti.uia.runtime.LogSync","","","17658489389","2","6","116666666","0","","","","","",
"","488753866807","0","C64XP_B","LM_pend: event: 0x8745a8, currEvents: 0x0, andMask: 0x0, orMask: 0x7, timeout: -1","Event_LM_pend","Unknown","","","1","SYSBIOS System Logger","ti.sysbios.knl.Event","ti.sysbios.knl.Event","","","17631560759","8865192","0","0","7","4294967295","0","0","0","",
"","488753867432","0","C64XP_B","LD_block: tsk: 0x874750, func: 0x249a60","Task_LD_block","Unknown","ti_uia_sysbios_IpcMP_transferAgentFxn__E()","","2","SYSBIOS System Logger","ti.sysbios.knl.Task","ti.sysbios.knl.Task","","","17631561197","8865616","2398816","","","","","","","",
