GPIO0,EPWM1A,reserved,reserved
GPIO1,EPWM1B,SPISIMOD,reserved
GPIO2,EPWM2A,reserved,reserved
GPIO3,EPWM2B,SPISOMID,reserved
GPIO4,EPWM3A,reserved,reserved
GPIO5,EPWM3B,SPICLKD,ECAP1
GPIO6,EPWM4A,EPWMSYNCI,EPWMSYNCO
GPIO7,EPWM4B,SPISTED,ECAP2
GPIO8,EPWM5A,CANTXB,ADCSOCAO
GPIO9,EPWM5B,SCITXDB,ECAP3
GPIO10,EPWM6A,CANRXB,ADCSOCBO
GPIO11,EPWM6B,SCIRXDB,ECAP4
GPIO12,TZ1,CANTXB,SPISIMOB
GPIO13,TZ2,CANRXB,SPISOMIB
GPIO14,TZ3,SCITXDB,SPICLKB
GPIO15,TZ4,SCIRXDB,SPISTEB
GPIO16,SPISIMOA,CANTXB,TZ5
GPIO17,SPISOMIA,CANRXB,TZ6
GPIO18,SPICLKA,SCITXDB,reserved
GPIO19,SPISTEA,SCIRXDB,reserved
GPIO20,EQEP1A,SPISIMOC,CANTXB
GPIO21,EQEP1B,SPISOMIC,CANRXB
GPIO22,EQEP1S,SPICLKC,SCITXDB
GPIO23,EQEP1I,SPISTEC,SCIRXDB
GPIO24,ECAP1,EQEP2A,SPISIMOB
GPIO25,ECAP2,EQEP2B,SPISOMIB
GPIO26,ECAP3,EQEP2I,SPICLKB
GPIO27,ECAP4,EQEP2S,SPISTEB
GPIO28,SCIRXDA,reserved,TZ5
GPIO29,SCITXDA,reserved,TZ6
GPIO30,CANRXA,reserved,reserved
GPIO31,CANTXA,reserved,reserved
GPIO32,SDAA,EPWMSYNCI,ADCSOCAO
GPIO33,SCLA,EPWMSYNCO,ADCSOCBO
GPIO34,reserved,reserved,reserved
