GPIO0,EPWM1A,reserved,reserved
GPIO1,EPWM1B,reserved,COMP1OUT
GPIO2,EPWM2A,reserved,reserved
GPIO3,EPWM2B,reserved,COMP2OUT
GPIO4,EPWM3A,reserved,reserved
GPIO5,EPWM3B,reserved,ECAP1(D)
GPIO6,EPWM4A,EPWMSYNCI,EPWMSYNCO
GPIO7,EPWM4B,SCIRXDA,reserved
reserved,reserved,reserved,reserved
reserved,reserved,reserved,reserved
reserved,reserved,reserved,reserved
reserved,reserved,reserved,reserved
GPIO12,TZ1,SCITXDA,reserved
reserved,reserved,reserved,reserved
reserved,reserved,reserved,reserved
reserved,reserved,reserved,reserved
GPIO16,SPISIMOA,reserved,TZ2
GPIO17,SPISOMIA,reserved,TZ3
GPIO18,SPICLKA,SCITXDA,XCLKOUT
GPIO19/XCLKIN,SPISTEA,SCIRXDA,ECAP1(D)
reserved,reserved,reserved,reserved
reserved,reserved,reserved,reserved
reserved,reserved,reserved,reserved
reserved,reserved,reserved,reserved
reserved,reserved,reserved,reserved
reserved,reserved,reserved,reserved
reserved,reserved,reserved,reserved
reserved,reserved,reserved,reserved
GPIO28,SCIRXDA,SDAA,TZ2
GPIO29,SCITXDA,SCLA,TZ3
reserved,reserved,reserved,reserved
reserved,reserved,reserved,reserved
GPIO32,SDAA,EPWMSYNCI,ADCSOCAO
GPIO33,SCLA,EPWMSYNCO,ADCSOCBO
GPIO34,COMP2OUT,reserved,reserved
GPIO35/TDI,reserved,reserved,reserved
GPIO36/TMS,reserved,reserved,reserved
GPIO37/TDO,reserved,reserved,reserved
GPIO38/XCLKIN/TCK,reserved,reserved,reserved
reserved,reserved,reserved,reserved
reserved,reserved,reserved,reserved
reserved,reserved,reserved,reserved
reserved,reserved,reserved,reserved
reserved,reserved,reserved,reserved
reserved,reserved,reserved,reserved
reserved,reserved,reserved,reserved
reserved,reserved,reserved,reserved
reserved,reserved,reserved,reserved
