,GPIO0,U0Rx,,,,,,,I2C1SCL,U1RX,,,,,,,,,,,GPIO0,EPWM1A,,
,GPIO1,U0Tx,,,,,,,I2C1SDA,U1TX,,,,,,,,,,SSI1FSS,GPIO1,EPWM1B,ECAP6,
,GPIO2,SSI0Clk,,MIITXD2(d),,,,,,,,,,,,,,,,,GPIO2,EPWM2A,,
,GPIO3,SSI0FSS,,MIITXD1(d),,,,,,,,,,,,,,,,SSI1CLK,GPIO3,EPWM2B,ECAP5,
,GPIO4,SSI0RX,,MIITXD0(d),,CAN0RX,,,,,,,,,,,,,,,GPIO4,EPWM3A,,
,GPIO5,SSI0TX,,MIIRXDV(d),,CAN0TX,,,,,,,,,,,,,,,GPIO5,EPWM3B,MFSRA,ECAP1
,GPIO6,I2C1SCL,CCP1,MIIRXCK(d),,,CAN0RX,,USB0EPEN(d),,,,,,,,MIITXD3(d),,,,GPIO6,EPWM4A,,EPWMSYNCO
,GPIO7,I2C1SDA,CCP4,MIIRXER(d),,,CAN0TX,CCP3,USB0PFLT(d),,,,,,,,MIIRXD1(d),,,,GPIO7,EPWM4B,MCLKRA,ECAP2
,GPIO8,CCP0,,,,U1RX,,,,,,,,,,,,SSI2TX,CAN1TX,U4TX,GPIO8,EPWM5A,,ADCSOCAO
,GPIO9,CCP2,,,CCP1,U1TX,,,,,,,,,,,,SSI2RX,,,GPIO9,EPWM5B,,ECAP3
,GPIO10,I2C0SCL,,,CCP3,CCP0,,,USB0EPEN(d),,,,,,,,,SSI2CLK,CAN1RX,U4RX,GPIO10,EPWM6A,,ADCSOCBO
,GPIO11,I2C0SDA,,,,,,,USB0PFLT(d),,,,,,,,,SSI2FSS,U1RX,,GPIO11,EPWM6B,,ECAP4
,GPIO12,,,,U2Rx,CAN0RX,,U1RX,EPI0S23,,,,,,,,,,CAN1TX,SSI1TX,GPIO12,EPWM7A,,
,GPIO13,,CCP5,CCP6,CCP0,CAN0TX,CCP2,U1TX,EPI0S22,,,,,,,,,,CAN1RX,SSI1RX,GPIO13,EPWM7B,,
,GPIO14,CCP1,CCP7,,,,CCP5,,EPI0S37,,,,,,,,MIICRS(d),I2C0SDA,U1TX,SSI1CLK,GPIO14,EPWM8A,,
,GPIO15,,,,EXTNMI,,,MIIRXD1(d),EPI0S36,,,,,,,,,I2C0SCL,U1RX,SSI1FSS,GPIO15,EPWM8B,,
,GPIO16,,CAN0RX,,U2RX,U1RX,CCP6,MIIRXDV(d),,,,,,,,,MIIRXD2(d),SSI0TX,CAN1TX,USB0EPEN(d),GPIO16,SPISIMOA,,
,GPIO17,,CAN0Tx,,U2TX,U1TX,CCP7,MIITXER(d),,,CCP2,,,,,,MIICOL(d),SSI0RX,CAN1RX,USB0PFLT(d),GPIO17,SPISOMIA,,
,GPIO18,U1RX,CCP6,,CCP5,,,,EPI0S20,,,,,,,,,SSI0CLK,U1TX,CAN0RX,GPIO18,SPICLKA,,
,GPIO19,U1TX,CCP7,,CCP0,,,,EPI0S21,,,,,,,,,SSI0FSS,U1RX,CAN0TX,GPIO19,SPISTEA,,
,GPIO20,CCP0,CCP3,,MIITXD3(d),,,,,,EPI0S19,,,,,,,,U3TX,CAN1TX,GPIO20,EQEP1A,MDXA,
,GPIO21,CCP2,CCP4,,MIITXD2(d),,,,,U2RX,EPI0S28,,,,,,,,U3RX,CAN1RX,GPIO21,EQEP1B,MDRA,
,GPIO22,,,,MIITXD1(d),,,,,U2TX,EPI0S29,,,,,,,,I2C1SDA,U1TX,GPIO22,EQEP1S,MCLKXA,
,GPIO23,,,CCP1,MIITXD0(d),,,,,,EPI0S30,,,,,,,,I2C1SCL,U1RX,GPIO23,EQEP1I,MFSXA,
,GPIO24,,SSI1CLK,CCP3,,,,,EPI0S8,USB0PFLT(d),,,,,,,,SSI3TX,CAN0RX,SSI1TX,GPIO24,ECAP1,EQEP2A,
,GPIO25,,SSI1FSS,,CCP2,CCP6,,,EPI0S9,,,,,,,,,SSI3RX,CAN0TX,SSI1RX,GPIO25,ECAP2,EQEP2B,
,GPIO26,CCP4,SSI1RX,,,CCP2,,,EPI0S24,,,,,,,,,SSI3CLK,U2RX,SSI1CLK,GPIO26,ECAP3,EQEP2I,
